County_ID,County,State_ID
"CNTY1","Ada","ID"
"CNTY2","Adams","WA"
"CNTY3","Alameda","CA"
"CNTY4","Albemarle","VA"
"CNTY5","Alexandria","VA"
"CNTY6","Allegheny","PA"
"CNTY7","Allen","IN"
"CNTY8","Anchorage","AK"
"CNTY9","Anne Arundel","MD"
"CNTY10","Arapahoe","CO"
"CNTY11","Arlington","VA"
"CNTY12","Asotin","WA"
"CNTY13","Atlantic","NJ"
"CNTY14","Autauga","AL"
"CNTY15","Baltimore","MD"
"CNTY16","Bannock","ID"
"CNTY17","Barnstable","MA"
"CNTY18","Beaufort","SC"
"CNTY19","Beauregard","LA"
"CNTY20","Beaver","PA"
"CNTY21","Bell","TX"
"CNTY22","Benton","WA"
"CNTY23","Benton","OR"
"CNTY24","Benton","AR"
"CNTY25","Berkeley","SC"
"CNTY26","Bernalillo","NM"
"CNTY27","Bexar","TX"
"CNTY28","Blaine","ID"
"CNTY29","Boone","IN"
"CNTY30","Brevard","FL"
"CNTY31","Broward","FL"
"CNTY32","Brown","WI"
"CNTY33","Bucks","PA"
"CNTY34","Burlington","NJ"
"CNTY35","Butte","SD"
"CNTY36","Caddo","LA"
"CNTY37","Calvert","MD"
"CNTY38","Camden","GA"
"CNTY39","Canadian","OK"
"CNTY40","Carroll","MD"
"CNTY41","Centre","PA"
"CNTY42","Charles","MD"
"CNTY43","Chelan","WA"
"CNTY44","Chesapeake","VA"
"CNTY45","Chesterfield","VA"
"CNTY46","Churchill","NV"
"CNTY47","Clackamas","OR"
"CNTY48","Clallam","WA"
"CNTY49","Clark","WA"
"CNTY50","Clark","NV"
"CNTY51","Clatsop","OR"
"CNTY52","Clay","MO"
"CNTY53","Clay","FL"
"CNTY54","Cleveland","OK"
"CNTY55","Cochise","AZ"
"CNTY56","Collin","TX"
"CNTY57","Columbia","WA"
"CNTY58","Columbia","GA"
"CNTY59","Contra Costa","CA"
"CNTY60","Cook","IL"
"CNTY61","Coryell","TX"
"CNTY62","Cowlitz","WA"
"CNTY63","Cumberland","NC"
"CNTY64","Currituck","NC"
"CNTY65","Cuyahoga","OH"
"CNTY66","Dale","AL"
"CNTY67","Dallas","TX"
"CNTY68","Dane","WI"
"CNTY69","Davidson","TN"
"CNTY70","DeKalb","GA"
"CNTY71","Denver","CO"
"CNTY72","Deschutes","OR"
"CNTY73","District of Columbia","DC"
"CNTY74","Do̱a Ana","NM"
"CNTY75","Dorchester","SC"
"CNTY76","Douglas","WA"
"CNTY77","Douglas","CO"
"CNTY78","Douglas","NV"
"CNTY79","Douglas","NE"
"CNTY80","DuPage","IL"
"CNTY81","Duval","FL"
"CNTY82","El Paso","TX"
"CNTY83","El Paso","CO"
"CNTY84","Escambia","FL"
"CNTY85","Essex","NJ"
"CNTY86","Fairfax","VA"
"CNTY87","Fayette","KY"
"CNTY88","Ferry","WA"
"CNTY89","Forsyth","GA"
"CNTY90","Fort Bend","TX"
"CNTY91","Franklin","WA"
"CNTY92","Franklin","PA"
"CNTY93","Frederick","MD"
"CNTY94","Fresno","CA"
"CNTY95","Galveston","TX"
"CNTY96","Garfield","WA"
"CNTY97","Garfield","OK"
"CNTY98","Goochland","VA"
"CNTY99","Grant","WA"
"CNTY100","Grays Harbor","WA"
"CNTY101","Greene","OH"
"CNTY102","Guam","GU"
"CNTY103","Gwinnett","GA"
"CNTY104","Hamilton","OH"
"CNTY105","Hampden","MA"
"CNTY106","Hardin","KY"
"CNTY107","Harford","MD"
"CNTY108","Harnett","NC"
"CNTY109","Harris","TX"
"CNTY110","Harrison","MS"
"CNTY111","Hartford","CT"
"CNTY112","Hennepin","MN"
"CNTY113","Hernando","FL"
"CNTY114","Hillsborough","FL"
"CNTY115","Hoke","NC"
"CNTY116","Horry","SC"
"CNTY117","Houston","GA"
"CNTY118","Houston","AL"
"CNTY119","Howard","MD"
"CNTY120","Hudson","NJ"
"CNTY121","Island","WA"
"CNTY122","James City","VA"
"CNTY123","Jefferson","WA"
"CNTY124","Jefferson","NY"
"CNTY125","Jefferson","KY"
"CNTY126","Jefferson","AL"
"CNTY127","Jefferson","LA"
"CNTY128","Johnson","MO"
"CNTY129","Kane","IL"
"CNTY130","Kauai","HI"
"CNTY131","Kent","RI"
"CNTY132","Kern","CA"
"CNTY133","King","WA"
"CNTY134","Kings","NY"
"CNTY135","Kings","CA"
"CNTY136","Kitsap","WA"
"CNTY137","Kittitas","WA"
"CNTY138","Klickitat","WA"
"CNTY139","Kootenai","ID"
"CNTY140","Lake","IL"
"CNTY141","Laramie","WY"
"CNTY142","Larimer","CO"
"CNTY143","Leavenworth","KS"
"CNTY144","Lewis","WA"
"CNTY145","Lexington","SC"
"CNTY146","Lincoln","WA"
"CNTY147","Long","GA"
"CNTY148","Los Angeles","CA"
"CNTY149","Loudoun","VA"
"CNTY150","Macomb","MI"
"CNTY151","Madison","IL"
"CNTY152","Madison","AL"
"CNTY153","Manatee","FL"
"CNTY154","Maricopa","AZ"
"CNTY155","Marin","CA"
"CNTY156","Marion","IN"
